screen_name,t_counts,status_id,user_id,created_at,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
BloombergQuint,101,1240658033853829120,714731566828793857,2020-03-19T15:15:00Z,"Contract workers are usually the most vulnerable and the first to be laid off in the event of such downturns, says @_CMIE’s Managing Director Mahesh Vyas. #coronavirus 
https://t.co/pg368AA1TJ",TweetDeck,,,,False,False,90,3,,,,121690,193,,2016-03-29T08:30:59Z,True,en
IndiaToday,132,1240688908532199424,19897138,2020-03-19T17:17:41Z,"Arunachal bans entry of all visitors in state as India's count rises to 188
#Coronavirus #Covid19 #CoronavirusOutbreak 
Live updates: https://t.co/JXFZhhqIw6 https://t.co/1hMLb4Eef5",Twitter Web App,,,,False,False,4400,15,,,,5278718,229,,2009-02-02T07:21:54Z,True,en
CNNnews18,107,1240656637372690433,6509832,2020-03-19T15:09:27Z,"#CoronavirusOutbreak – In this time of crisis, you also have to keep in mind that on our essential services, the pressure on our hospitals is also increasing continuously. So I also urge you to avoid going to the hospital for routine check-ups, avoid as much: PM Narendra Modi https://t.co/rvYW6496k9",Twitter Web App,1.240655747886637e+18,6509832.0,CNNnews18,False,False,178,0,,,,4355751,439,,2007-06-01T20:31:01Z,True,en
SkyNews,124,1240578119112822784,7587032,2020-03-19T09:57:27Z,"📚Will schools stay shut completely? What's happening to A-Level, GCSEs and SATs?

The government's announced UK schools would shut from the end of lessons on Friday - here are the key questions #coronavirus https://t.co/P2rrOiihvq",SocialFlow,,,,False,False,24,12,,,,5634897,27,,2007-07-19T14:42:53Z,True,en
BloombergQuint,101,1240507038750384128,714731566828793857,2020-03-19T05:15:00Z,"What happens if you approach a private hospital to get voluntarily tested for #Coronavirus? Apollo Hospitals' @drsangitareddy explains. 

Watch the full interaction: https://t.co/eHZXU7wwO3 https://t.co/eclrHn6GEF",Twitter Media Studio,,,,False,False,90,3,,,,121700,193,,2016-03-29T08:30:59Z,True,en
CNNnews18,107,1240673588010577923,6509832,2020-03-19T16:16:48Z,"#NewsAlert - PM Calls for Social Distancing, Asks Indians to Follow 'Janata Curfew' on Sunday.

@Sougata_Mukh with details

#CoronavirusOutbreak | #IndiaFightsCOVID19 https://t.co/h8NuA1tk15",Twitter Media Studio - LiveCut,,,,False,False,178,0,,,,4355751,439,,2007-06-01T20:31:01Z,True,en
Oneindia,119,1240647084912463873,18159588,2020-03-19T14:31:29Z,"PM Narendra Modi Addresses the Nation Over #CoronavirusOutbreak

#BeatCOVID19 #CoronavirusPandemic #COVID19 #IndiaFightsCorona

Catch all live updates here: https://t.co/kZlAcyCTCO",Twitter Web App,,,,False,False,350,1,,,,60605,662,,2008-12-16T09:44:12Z,True,en
bsindia,136,1240707108179456002,43855487,2020-03-19T18:30:00Z,"The impact on rail travel started showing earlier this month with March 1-10 passenger earnings at Rs 1,360 crore, down 6 per cent, compared to Rs 1,442 crore during the same period in FY19.

#IndianRailways #coronavirus 

https://t.co/xcvwfS8yz4",TweetDeck,,,,False,False,140,2,,,,1867423,380,,2009-06-01T08:52:08Z,True,en
ANI,112,1240490476823646208,355989081,2020-03-19T04:09:11Z,"All India Trinamool Congress parliamentary party’s daily media briefings at the party office in the Parliament have been suspended from today, till 31st March. #Coronavirus https://t.co/ddEbAMGzVa",Twitter Web App,,,,False,False,0,7,,,,3509263,0,,2011-08-16T05:23:41Z,True,en
Oneindia,119,1240590234955333632,18159588,2020-03-19T10:45:35Z,"Did Dr. Devi Shetty confirm shortage of #coronavirus testing kits in viral audio message? 

#COVID2019india #CoronavirusOutbreak #COVID19 #FakeNews #DeviShetty
@NarayanaHealth 
https://t.co/Yx14YIefDG",Twitter Web App,,,,False,False,350,1,,,,60590,661,,2008-12-16T09:44:12Z,True,en
htTweets,130,1240488345995587587,36327407,2020-03-19T04:00:43Z,"#Coronavirus #Covid2019India |  India Covid-19 cases rise to 169, says health ministry

https://t.co/gldtzAx03h https://t.co/ZlRe1YOSZt",TweetDeck,,,,False,False,2971,9,,,,7154065,126,,2009-04-29T10:11:34Z,True,en
CNNnews18,107,1240505837828706306,6509832,2020-03-19T05:10:13Z,"#NewsAlert - ICSE Board postpones Class 10, 12 examinations due to coronavirus threat; reports PTI quoting officials. 

#IndiaFightsCOVID19 | #CoronavirusOutbreak https://t.co/tiWDymdww3",Twitter Web App,,,,False,False,178,3,,,,4355757,439,,2007-06-01T20:31:01Z,True,en
bsindia,136,1240614748707749888,43855487,2020-03-19T12:23:00Z,"Catch the #live updates

#CoronavirusOutbreak

https://t.co/G6EvA0Lrdy https://t.co/6Hn96q8HJ7",TweetDeck,,,,False,False,139,1,,,,1867045,379,,2009-06-01T08:52:08Z,True,en
ABSCBNNews,137,1240555571318685697,15872418,2020-03-19T08:27:51Z,"Zubiri: In my case, I feel that the first and only test I had was accurate as I remembered that I had a slight fever Wednesday last week and was asymptomatic already by Monday after. #COVID19 | via @_katrinadomingo",Twitter Web App,1.240555569557078e+18,15872418.0,ABSCBNNews,False,False,1071,1,,,,6729212,1075,,2008-08-16T10:09:33Z,True,en
timesofindia,187,1240488164348710914,134758540,2020-03-19T04:00:00Z,"MHRD reschedules JEE Main, CBSE Board and NIOS exams due to COVID-19 https://t.co/9BWAIDaoF7 

#CautionYesPanicNo

#COVID19India
#CoronavirusOutbreak
#CoronavirusUpdates",TweetDeck,,,,False,False,5,5,,,,12397695,530,,2010-04-19T10:50:15Z,True,en
